OBJECTID,FULL_ZONING,NOTE,HTML,VIEWER_HTML,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
20062,URM, ,<A HREF=https://www.burlington.ca/en/zoning/part_7_4_ucr1_uop_zone_regulations.asp TARGET=new>URM</A>,https://www.burlington.ca/en/zoning/part_7_4_ucr1_uop_zone_regulations.asp ,{8AD77DF2-DCE3-49D8-9FE2-FF89842F0172},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,31029.9676700002,757.412770939519
20063,R2.1, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp TARGET=new>R2.1</A>,https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp ,{1C890EA0-FFA1-4CFF-8977-54080781EC6D},COB,2022/06/29 13:08:32+00,MAW,2025/04/08 13:12:00+00,79769.9395226161,1322.90679047026
20064,BC1, ,<A HREF=https://www.burlington.ca/en/zoning/part_3_4_bc1_zone_regulations.asp TARGET=new>BC1</A>,https://www.burlington.ca/en/zoning/part_3_4_bc1_zone_regulations.asp ,{F0184435-6D22-4E42-BB03-AD6DD37074AE},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,281106.153611595,3035.93350325177
20065,RM5-276, ,<A HREF=https://www.burlington.ca/en/zoning/exception_276.asp TARGET=new>RM5-276</A>,https://www.burlington.ca/en/zoning/exception_276.asp ,{941BE769-5174-4AC3-B937-35F57BEFA7AA},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,1354.34432000001,157.930926493651
20066,RM3-108, ,<A HREF=https://www.burlington.ca/en/zoning/exception_108.asp TARGET=new>RM3-108</A>,https://www.burlington.ca/en/zoning/exception_108.asp ,{47534C61-C3C7-4584-BB3A-630EA71C8ABD},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,15636.2201100001,524.476844218832
20067,R3.2-200, ,<A HREF=https://www.burlington.ca/en/zoning/exception_200.asp TARGET=new>R3.2-200</A>,https://www.burlington.ca/en/zoning/exception_200.asp ,{7E361B84-9238-428D-947F-F60BEED987B0},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,27556.1255900002,904.270081537569
20068,DC, ,<A HREF=https://www.burlington.ca/en/zoning/part_6_4_dc1_zone_regulations.asp TARGET=new>DC</A>,https://www.burlington.ca/en/zoning/part_6_4_dc1_zone_regulations.asp ,{0C1A973B-06C5-4C18-898B-0E9E404F8898},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,7107.13916000006,365.275043259264
20069,R3.2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp TARGET=new>R3.2</A>,https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp ,{2BEDFE7F-3919-4C6F-B887-B363ECA7F44B},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,607509.355620005,4281.68603231387
20070,H-RNA3-194,"SEE PART 11, APPENDIX A34",<A HREF=https://www.burlington.ca/en/zoning/exception_194.asp TARGET=new>H-RNA3-194</A>,https://www.burlington.ca/en/zoning/exception_194.asp ,{ECCE2651-3D1A-4F2E-ACF8-0152AF65CB01},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,36741.8748700003,895.620179679632
20071,DRM, ,<A HREF=https://www.burlington.ca/en/zoning/part_6_7_drm_zone_regulations.asp TARGET=new>DRM</A>,https://www.burlington.ca/en/zoning/part_6_7_drm_zone_regulations.asp ,{FBCB1915-2138-4FB3-B8E9-B6E5C959DF6A},COB,2022/06/29 13:08:32+00,MAW,2023/11/23 15:02:22+00,18907.6837732091,619.255466274328
20072,R4-133, ,<A HREF=https://www.burlington.ca/en/zoning/exception_133.asp TARGET=new>R4-133</A>,https://www.burlington.ca/en/zoning/exception_133.asp ,{D456BB9D-74E2-47BB-AB81-8C9BBD6000DB},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,3538.73480000003,255.010925139915
20073,BC1, ,<A HREF=https://www.burlington.ca/en/zoning/part_3_4_bc1_zone_regulations.asp TARGET=new>BC1</A>,https://www.burlington.ca/en/zoning/part_3_4_bc1_zone_regulations.asp ,{A4EA8217-1939-444D-8ADE-A7DABEFA6D16},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,73513.5542216826,1461.11859680781
20074,BC1-341, ,<A HREF=https://www.burlington.ca/en/zoning/exception_341.asp TARGET=new>BC1-341</A>,https://www.burlington.ca/en/zoning/exception_341.asp ,{EF07F981-8BDE-4412-B045-F185E8D32B31},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,5266.10491531869,358.84124811718
20075,MXC-415, ,<A HREF=https://www.burlington.ca/en/zoning/exception_415.asp TARGET=new>MXC-415</A>,https://www.burlington.ca/en/zoning/exception_415.asp ,{EC98E7A4-1A8E-4BB0-9600-1FDBF27B681A},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,45059.3933100004,860.984435091305
20076,R2.4, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp TARGET=new>R2.4</A>,https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp ,{3943CDCB-2AFD-4E5F-B221-9227EFF0BEDA},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,283847.00541981,4076.34672072343
20077,RNA2, ,<A HREF=https://www.burlington.ca/en/zoning/part_9_5_rna2_zone_regulations.asp TARGET=new>RNA2</A>,https://www.burlington.ca/en/zoning/part_9_5_rna2_zone_regulations.asp ,{2DAA9EEE-EC99-4438-A7C1-D2F3F33E1FA6},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,6878.37374000005,367.482834535716
20078,PC, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_3_pc_zone.asp TARGET=new>PC</A>,https://www.burlington.ca/en/zoning/part_10_3_pc_zone.asp ,{A31BC30C-DD90-42AC-B7F4-64AF69F70C71},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,200592.170420002,2820.74247818766
20079,O1, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_4_o1_zone.asp TARGET=new>O1</A>,https://www.burlington.ca/en/zoning/part_10_4_o1_zone.asp ,{F35B2436-C618-469A-930E-A0194D0EA15F},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,56682.2018500004,1237.70276468119
20080,D, ,<A HREF=https://www.burlington.ca/en/zoning/part_12_1_d_zone.asp TARGET=new>D</A>,https://www.burlington.ca/en/zoning/part_12_1_d_zone.asp ,{CED22007-9961-465E-A7C9-C731B54071C0},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,48743.5953600004,1184.31188434535
20081,RM3-149, ,<A HREF=https://www.burlington.ca/en/zoning/exception_149.asp TARGET=new>RM3-149</A>,https://www.burlington.ca/en/zoning/exception_149.asp ,{E43BD2AE-5B26-477E-AF89-81AD10F71469},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,19434.230354613,554.945085828966
20082,RAL4, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_25_ral4_zone_regulations.asp TARGET=new>RAL4</A>,https://www.burlington.ca/en/zoning/part_2_25_ral4_zone_regulations.asp ,{F0379D06-0C16-43FC-95F3-E6A3C2FA72EC},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,15856.3668518228,801.920870664958
20083,RM5-232, ,<A HREF=https://www.burlington.ca/en/zoning/exception_232.asp TARGET=new>RM5-232</A>,https://www.burlington.ca/en/zoning/exception_232.asp ,{C6D51041-A34F-4505-9556-4F5C276170AF},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,21907.3753400002,799.813041685442
20084,CR-351, ,<A HREF=https://www.burlington.ca/en/zoning/exception_351.asp TARGET=new>CR-351</A>,https://www.burlington.ca/en/zoning/exception_351.asp ,{E8B3AA35-026D-4232-9A61-6B46AD987DCE},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,4312.74329951103,306.823579331021
20085,DRM, ,<A HREF=https://www.burlington.ca/en/zoning/part_6_7_drm_zone_regulations.asp TARGET=new>DRM</A>,https://www.burlington.ca/en/zoning/part_6_7_drm_zone_regulations.asp ,{885BE86A-5FEA-40FD-A7D0-6E522EE65198},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,3241.85688305298,234.906500522217
20086,DRL, ,<A HREF=https://www.burlington.ca/en/zoning/part_6_2_permtted_uses.asp TARGET=new>DRL</A>,https://www.burlington.ca/en/zoning/part_6_2_permtted_uses.asp ,{F5BD2B40-EB37-4DDB-8DEC-1EE98B702AE3},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,72226.3146400492,1497.90825347699
20087,DRM, ,<A HREF=https://www.burlington.ca/en/zoning/part_6_7_drm_zone_regulations.asp TARGET=new>DRM</A>,https://www.burlington.ca/en/zoning/part_6_7_drm_zone_regulations.asp ,{E4505ADB-7571-40C1-876D-FEE0D62209AC},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,4334.47930125003,289.346657389406
20088,O3-343, ,<A HREF=https://www.burlington.ca/en/zoning/exception_343.asp TARGET=new>O3-343</A>,https://www.burlington.ca/en/zoning/exception_343.asp ,{C2E6BCC7-653A-45FB-A35B-AD8EB44D1E78},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,1880.16919379521,173.311520569888
20089,O2, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_5_o2_zone.asp TARGET=new>02</A>,https://www.burlington.ca/en/zoning/part_10_5_o2_zone.asp ,{FF9AF4C2-AB88-41D7-BC64-903354E870F9},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,58613.1473534179,2134.7924807664
20090,MXE, ,<A HREF=https://www.burlington.ca/en/zoning/part_5_4_mxg_mxr_mxe_zone_regulations.asp TARGET=new>MXE</A>,https://www.burlington.ca/en/zoning/part_5_4_mxg_mxr_mxe_zone_regulations.asp ,{B0825202-198B-4A89-BDFE-FF16C0A6F212},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,163112.334526572,2164.20514516141
20091,R3.2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp TARGET=new>R3.2</A>,https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp ,{BCC9016C-12BA-4E03-B9D5-CDD6AB3FC33A},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,356793.901445008,2943.75864109092
20092,CN2-339, ,<A HREF=https://www.burlington.ca/en/zoning/exception_339.asp TARGET=new>CN2-339</A>,https://www.burlington.ca/en/zoning/exception_339.asp ,{C71CDB11-A244-4AB0-9A4D-080DCDD0996C},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,6824.72582609765,335.677550875613
20093,R3.1, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp TARGET=new>R3.1</A>,https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp ,{6ABCC349-1FFF-426F-98AF-DE06B3A336BA},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,32543.1377600003,959.355574302456
20094,S, ,<A HREF=https://www.burlington.ca/en/zoning/part_12_2_s_zone.asp TARGET=new>S</A>,https://www.burlington.ca/en/zoning/part_12_2_s_zone.asp ,{233F39E5-6114-45D6-B064-3229718B83A9},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,2570.06185000002,198.635087847831
20095,GE2, ,<A HREF=https://www.burlington.ca/en/zoning/part_3_6_ge_zone_regulations.asp TARGET=new>GE2</A>,https://www.burlington.ca/en/zoning/part_3_6_ge_zone_regulations.asp ,{B2328B99-C11C-42F3-BE4D-69F865515A6F},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,34599.2821800003,1008.82577021251
20096,O2, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_5_o2_zone.asp TARGET=new>02</A>,https://www.burlington.ca/en/zoning/part_10_5_o2_zone.asp ,{53B4778E-FBAA-459A-AB74-61EF7B96B115},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,14412.0784500001,591.648591144248
20097,PC, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_2_pc_zone.asp TARGET=new>PC</A>,https://www.burlington.ca/en/zoning/part_10_2_pc_zone.asp ,{6BA52BC8-FFFD-40DC-995F-03E8E66DD526},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,83855.5310200006,1451.19628491822
20098,O2, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_5_o2_zone.asp TARGET=new>02</A>,https://www.burlington.ca/en/zoning/part_10_5_o2_zone.asp ,{C7DD0B6D-070F-481E-A912-60BB02540455},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,22424.2190600002,1554.78695820072
20099,MXG-239, ,<A HREF=https://www.burlington.ca/en/zoning/exception_239.asp TARGET=new>MXG-239</A>,https://www.burlington.ca/en/zoning/exception_239.asp ,{3F35F463-6425-4544-9A12-E908841672F2},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,11828.9062000001,467.452772659981
20100,RM5-236, ,<A HREF=https://www.burlington.ca/en/zoning/exception_236.asp TARGET=new>RM5-236</A>,https://www.burlington.ca/en/zoning/exception_236.asp ,{D7D054AD-9803-437D-BFCA-B686A0D49AD2},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,7932.39159000006,369.922193168731
20101,GE2, ,<A HREF=https://www.burlington.ca/en/zoning/part_3_6_ge_zone_regulations.asp TARGET=new>GE2</A>,https://www.burlington.ca/en/zoning/part_3_6_ge_zone_regulations.asp ,{291E10D5-5CB6-49BE-84EB-9B0F4B5CE264},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,17202.0166100001,589.741970728385
20102,RM5, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_12_rm5_zone_regulations.asp TARGET=new>RM5</A>,https://www.burlington.ca/en/zoning/part_2_12_rm5_zone_regulations.asp ,{BEC30C1A-AE78-4F92-8982-0EB2555699EF},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,8330.29735000006,356.096897314689
20103,RM2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp TARGET=new>RM2</A>,https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp ,{210F5660-F3B8-4A98-BBC0-4E9A1C62E38E},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,6021.42325000005,324.130121996476
20104,RO3, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_19_ro3_zone_regulations.asp TARGET=new>RO3</A>,https://www.burlington.ca/en/zoning/part_2_19_ro3_zone_regulations.asp ,{D68E9ED3-9536-4C65-94B5-4A7923D90E6E},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,17033.6415600001,579.524819009574
20105,MXC, ,<A HREF=https://www.burlington.ca/en/zoning/part_5_4_mxg_mxr_mxe_zone_regulations.asp TARGET=new>MXC</A>,https://www.burlington.ca/en/zoning/part_5_4_mxg_mxr_mxe_zone_regulations.asp ,{78AEFAE3-3536-4B14-B494-B069CBB2CF30},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,88730.0136700007,1581.62191387211
20106,H-RM2, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp TARGET=new>H-RM2</A>,https://www.burlington.ca/en/zoning/part_2_9_rm2_zone_regulations.asp ,{87D495E4-6AFB-4817-BAB7-1891E180390F},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,2929.53125000002,234.091385086331
20107,BC1-292, ,<A HREF=https://www.burlington.ca/en/zoning/exception_292.asp TARGET=new>BC1-292</A>,https://www.burlington.ca/en/zoning/exception_292.asp ,{68732372-69A9-43F5-994E-E093C6BC1159},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,28753.778982321,701.240243472305
20108,R2.3, ,<A HREF=https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp TARGET=new>R2.3</A>,https://www.burlington.ca/en/zoning/part_2_4_r1_r2_r3.asp ,{FDA97E97-9AE8-4A84-A906-5D07B17E874E},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,32793.4540300003,1398.04295236856
20109,P, ,<A HREF=https://www.burlington.ca/en/zoning/part_10_2_p_zone.asp TARGET=new>P</A>,https://www.burlington.ca/en/zoning/part_10_2_p_zone.asp ,{9C2F8231-7B32-4E60-B42C-71C7AE940D65},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,13852.5615900001,591.82230856052
20110,RM3-142, ,<A HREF=https://www.burlington.ca/en/zoning/exception_142.asp TARGET=new>RM3-142</A>,https://www.burlington.ca/en/zoning/exception_142.asp ,{D33A9020-F72E-437E-8F0F-57924C83FD42},COB,2022/06/29 13:08:32+00,COB,2022/06/29 13:08:32+00,21985.6061533314,620.882640973371
