Year,MedianIncome
2010,80000.0
2011,79000.0
2012,79600.0
2013,77900.0
2014,81500.0
2015,80800.0
2016,80700.0
2017,83400.0
2018,85900.0
2019,84800.0
2020,91100.0
2021,92000.0
2022,87700.0
2023,89300.0
